type,difficulty,name,description,prep_time,cook_time,cuisine_name,ingredient_name,portions,image_id
meal,3,Clam Chowder,"A creamy New England clam chowder, rich with clams, potatoes, onions, and celery, thickened with cream and served with oyster crackers.",20,45,American,bacon,1,0
dessert,2,Brownies,"Rich, fudgy chocolate brownies with a moist center and crispy edges, filled with chunks of chocolate.",10,25,American,butter,1,0
meal,1,Shopska Salata,"A traditional Bulgarian salad made from tomatoes, cucumbers, onions, and topped with a generous amount of sirene cheese.",15,0,Bulgarian,tomato,1,0
meal,3,Kavarma,"A hearty Bulgarian stew made with meat (typically pork or chicken), onions, mushrooms, and peppers, seasoned with paprika and herbs.",20,60,Bulgarian,pork,1,0
meal,3,Banitsa,A traditional Bulgarian pastry made from layers of phyllo dough filled with eggs and cheese.,20,40,Bulgarian,phyllo dough,1,0
meal,2,Mekitsa,"A traditional Bulgarian breakfast, mekitsa is a deep-fried dough pastry, served with powdered sugar, honey, or jam.",30,15,Bulgarian,flour,1,0
meal,3,Musaka,"Bulgarian style moussaka is a baked dish of potatoes, minced meat, and a topping of yogurt and eggs, similar to the Greek version but without eggplant.",30,90,Bulgarian,potato,1,0
meal,1,Tarator,"A cold yogurt soup popular in the summer, made with cucumbers, garlic, dill, and walnuts.",10,0,Bulgarian,yogurt,1,0
dessert,3,Kadaif,"A dessert of shredded phyllo dough, baked with nuts and saturated with syrup.",20,40,Bulgarian,dough,1,0
meal,1,Bulgarian Cheese Toast,"A quick and satisfying breakfast item made with bread, Bulgarian cheese, and often topped with a fried egg.",5,5,Bulgarian,bread,1,0
dessert,4,Garash Cake,"A rich chocolate cake made with layers of walnut sponge cake and dark chocolate ganache, named after the Hungarian pastry chef Garash.",30,30,Bulgarian,egg white,1,0
meal,3,Sarmi,"Traditional Bulgarian stuffed cabbage rolls filled with a mix of minced meats, rice, and herbs, cooked in a tomato-based sauce.",30,60,Bulgarian,cabbage,1,0
meal,3,Beef Stroganoff,A classic rich and creamy Russian dish featuring sautéed pieces of beef served in a sauce with smetana (sour cream).,15,30,Russian,sirloin steak,1,0
dessert,4,Medovik,A popular Russian honey cake featuring several thin layers of cake filled with sweetened sour cream.,30,60,Russian,honey,1,0
meal,2,Borscht,A hearty beet soup traditionally served hot or cold with a dollop of sour cream.,20,120,Russian,beets,1,0
meal,4,Pelmeni,"Traditional Russian dumplings filled with minced meat and wrapped in a thin dough, served with butter or sour cream.",60,10,Russian,flour,1,0
meal,2,Syrniki,"Sweet cheese pancakes made from tvorog (cottage cheese), typically served with sour cream or jam.",10,15,Russian,cheddar cheese,1,0
meal,1,Kasha,"A staple of Russian cuisine, kasha refers to any grain cooked in water or milk, often served as a side dish.",5,25,Russian,buckwheat groat,1,0
dessert,3,Pryaniki,"Traditional Russian honey bread cookies spiced with ginger and cloves, often glazed with sugar icing.",20,25,Russian,honey,1,0
dessert,4,Zefir,"A type of soft confectionery made by whipping fruit and berry purée with sugar and egg whites, similar to marshmallows.",45,0,Russian,apple,1,0
meal,2,Olivier Salad,"Also known as Russian Salad, this dish is a combination of diced potatoes, vegetables, eggs, and meat dressed with mayonnaise.",30,20,Russian,potato,1,0
meal,2,Shchi,"A traditional Russian soup made with cabbage, meat, and various vegetables, known for its hearty and comforting qualities.",15,60,Russian,onions,1,0
